ArrivalRegion	SourceRegion	NISDens	TotDens	PropNIS	CPNIS	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous	Non-indigenous
4	6	970.5882353	11660.5042	0.083237244	2	0	0	0	0	0	0	0	0	0	0	0	2.521008403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968.0672269	0
4	7	294.6153846	448.4615385	0.656946827	6	0	0	0	0	0	0.769230769	0	0	0	0	0	0	4.615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	33.84615385	0	0	70.76923077	70.76923077	113.8461538	0	0	0	0
4	7	0	175.177305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	2010.619469	14208.84956	0.141504733	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2010.619469
4	7	4.132231405	1104.958678	0.003739716	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.132231405	0	0	0	0	0	0	0	0	0
4	6	5.64516129	155.6451613	0.03626943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64516129	0
4	7	10.04784689	1367.942584	0.007345226	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4784689	0	4.306220096	0	0	1.435406699	0	0	0	0	3.827751196	0
4	7	3.067484663	52.14723926	0.058823529	2	0	0	0	0	0	0	0	1.226993865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.840490798	0
4	7	0	2.521008403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	0.757575758	27.27272727	0.027777778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757575758	0	0	0	0	0	0	0	0	0	0	0
4	6	188.4297521	1148.760331	0.164028777	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.75206612	0	0	0	0	0	0	0	0	158.677686	0
4	6	0	559.6491228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	195	26925	0.00724234	3	0	0	0.833333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	181.6666667	0	0
4	6	583.7209302	11851.16279	0.049254317	3	0	0	0	0	0	0	0	0	0	0	0	0.775193798	0	0	0	0	0	0	0	0	0	0	0	1.550387597	0	0	0	0	0	0	0	0	0	0	581.3953488	0
