sourceevent	sourceport	sourceportcode	sourcestate	sourcestatecode	sourcelake	sourcelakecode	sourcebob	arrivalevent	arrivaleventcode	arrivalport	arrivalportcode	arrivalstate	arrivalstatecode	arrivallake	arrivallakecode	year	time	orderknown	order
Ballast in	Detroit	232	MI	5	Erie	4	37325	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2004-12-29 09:02:47	1	1
Ballast in	Hamilton	14	ON	9	Ontario	5	13457	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2004-12-30 12:05:46	1	2
Ballast in	Courtright	55	ON	9	Huron	3	11181	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2004-12-30 14:57:16	1	3
Ballast in	Detroit	232	MI	5	Erie	4	8941	Ballast out	2	Meldrum Bay	78	ON	9	Huron	3	2005	2004-12-30 22:29:34	1	4
Ballast in	Detroit	232	MI	5	Erie	4	28617	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2004-12-30 22:58:59	1	5
Ballast in	Lorain	207	OH	6	Erie	4	20891	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2004-12-31 00:37:04	1	6
Ballast in	Nanticoke	59	ON	9	Erie	4	17529	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2004-12-31 02:10:11	1	7
Ballast in	Thorold	3	ON	9	Ontario	5	5548	Ballast out	2	Meldrum Bay	78	ON	9	Huron	3	2005	2004-12-31 17:23:54	1	8
Ballast in	Marysville	194	MI	5	Erie	4	42398	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-01 00:00	1	9
Ballast in	Marysville	194	MI	5	Erie	4	23286	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-01 07:48:36	1	10
Ballast in	Windsor	58	ON	9	Erie	4	8901	Ballast out	2	Meldrum Bay	78	ON	9	Huron	3	2005	2005-01-01 13:38:51	1	11
Ballast in	Ashtabula	242	OH	6	Erie	4	15596	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-01 17:42:28	1	12
Ballast in	Contrecoeur	154	QC	10	St. Lawrence	6	15753	Ballast out	2	Sept-Iles	275	QC	10	St. Lawrence	6	2005	2005-01-02 11:43:45	1	13
Ballast in	Detroit	232	MI	5	Erie	4	15596	Ballast out	2	Sandusky	176	OH	6	Erie	4	2005	2005-01-02 11:52:43	1	14
Ballast in	Cleveland	273	OH	6	Erie	4	4024	Ballast out	2	Sarnia	61	ON	9	Erie	4	2005	2005-01-02 15:26:36	1	15
Ballast in	Marysville	194	MI	5	Erie	4	43089	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-02 18:54:42	1	16
Ballast in	Conneaut	220	OH	6	Erie	4	28859	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-02 22:06:47	1	17
Ballast in	Cleveland	273	OH	6	Erie	4	9638	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-03 05:47:11	1	18
Ballast in	Green Bay	259	WI	2	Michigan	2	10522	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-03 07:09:53	1	19
Ballast in	Detroit	232	MI	5	Erie	4	15122	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-03 08:10:59	1	20
Ballast in	Nanticoke	59	ON	9	Erie	4	42398	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-03 10:59:12	1	21
Ballast in	Cleveland	273	OH	6	Erie	4	8943	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-03 11:06:59	1	22
Ballast in	Ludington	214	MI	5	Michigan	2	8835	Ballast out	2	Thunder Bay	134	ON	9	Superior	1	2005	2005-01-03 14:38:30	1	23
Ballast in	Sarnia	61	ON	9	Erie	4	4558	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-03 17:03:13	1	24
Ballast in	Indiana Harbor	224	IN	3	Michigan	2	17171	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-03 19:26:51	1	25
Ballast in	Lorain	207	OH	6	Erie	4	11373	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-04 01:41:22	1	26
Ballast in	Sarnia	61	ON	9	Erie	4	8941	Ballast out	2	Meldrum Bay	78	ON	9	Huron	3	2005	2005-01-04 01:54:55	1	27
Ballast in	Detroit	232	MI	5	Erie	4	14849	Ballast out	2	Ashtabula	242	OH	6	Erie	4	2005	2005-01-04 10:17:58	1	28
Ballast in	Windsor	58	ON	9	Erie	4	7800	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-04 11:09:12	1	29
Ballast in	Nanticoke	59	ON	9	Erie	4	14738	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-04 15:47:18	1	30
Ballast in	Indiana Harbor	224	IN	3	Michigan	2	38380	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-04 22:30:11	1	31
Ballast in	Nanticoke	59	ON	9	Erie	4	12082	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-05 03:26:47	1	32
Ballast in	Marysville	194	MI	5	Erie	4	8901	Ballast out	2	Goderich	80	ON	9	Huron	3	2005	2005-01-05 06:13:27	1	33
Ballast in	Nanticoke	59	ON	9	Erie	4	42398	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-05 10:17:54	1	34
Ballast in	Detroit	232	MI	5	Erie	4	37325	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-05 11:38:47	1	35
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	9929	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-05 11:55:57	1	36
Ballast in	Nanticoke	59	ON	9	Erie	4	48888	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-05 16:22:40	1	37
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	4024	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-05 19:04:01	1	38
Ballast in	Detroit	232	MI	5	Erie	4	28617	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-06 01:44:42	1	39
Ballast in	Marine City	274	MI	5	Erie	4	10785	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-06 07:23:07	1	40
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	7211	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-06 14:48:52	1	41
Ballast in	Nanticoke	59	ON	9	Erie	4	16110	Ballast out	2	Ashtabula	242	OH	6	Erie	4	2005	2005-01-06 16:28:52	1	42
Ballast in	Sarnia	61	ON	9	Erie	4	8941	Ballast out	2	Owen Sound	79	ON	9	Huron	3	2005	2005-01-06 22:03:04	1	43
Ballast in	Marysville	194	MI	5	Erie	4	42398	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-06 23:12:23	1	44
Ballast in	Toledo	218	OH	6	Erie	4	11431	Ballast out	2	Goderich	80	ON	9	Huron	3	2005	2005-01-06 23:55:18	1	45
Ballast in	Toledo	218	OH	6	Erie	4	6884	Ballast out	2	Sandusky	176	OH	6	Erie	4	2005	2005-01-07 01:52:17	1	46
Ballast in	Lorain	207	OH	6	Erie	4	8901	Ballast out	2	Windsor	58	ON	9	Erie	4	2005	2005-01-07 04:51:26	1	47
Ballast in	Lorain	207	OH	6	Erie	4	23286	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-07 08:38:15	1	48
Ballast in	Contrecoeur	154	QC	10	St. Lawrence	6	15753	Ballast out	2	Sept-Iles	275	QC	10	St. Lawrence	6	2005	2005-01-07 16:39:18	1	49
Ballast in	Cleveland	273	OH	6	Erie	4	8865	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-07 21:17:48	1	50
Ballast in	Nanticoke	59	ON	9	Erie	4	12082	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-07 22:05:03	1	51
Ballast in	Toledo	218	OH	6	Erie	4	7742	Ballast out	2	Alpena	251	MI	5	Huron	3	2005	2005-01-07 23:49:52	1	52
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	9929	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-08 01:57:02	1	53
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	7257	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-08 01:58:39	1	54
Ballast in	Cleveland	273	OH	6	Erie	4	15869	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-08 06:23:04	1	55
Ballast in	Nanticoke	59	ON	9	Erie	4	20891	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-08 06:38:36	1	56
Ballast in	Marysville	194	MI	5	Erie	4	43089	Ballast out	2	Silver Bay	204	MN	1	Superior	1	2005	2005-01-08 09:28:40	1	57
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	10522	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-08 11:04:01	1	58
Ballast in	Escanaba	210	MI	5	Michigan	2	14849	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-08 20:29:54	1	59
Ballast in	Burns Harbor	266	IN	3	Michigan	2	39601	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-09 01:04:09	1	60
Ballast in	Nanticoke	59	ON	9	Erie	4	13457	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-09 04:55:46	1	61
Ballast in	Sarnia	61	ON	9	Erie	4	4558	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-09 09:02:47	1	62
Ballast in	Indiana Harbor	224	IN	3	Michigan	2	18657	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-09 09:21:14	1	63
Ballast in	Indiana Harbor	224	IN	3	Michigan	2	15292	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-09 10:43:21	1	64
Ballast in	Cleveland	273	OH	6	Erie	4	15596	Ballast out	2	Toledo	218	OH	6	Erie	4	2005	2005-01-09 12:07:13	1	65
Ballast in	Nanticoke	59	ON	9	Erie	4	16110	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-09 16:26:16	1	66
Ballast in	Conneaut	220	OH	6	Erie	4	28859	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-09 23:25:32	1	67
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	7257	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-10 12:26:51	1	68
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	6884	Ballast out	2	Sarnia	61	ON	9	Erie	4	2005	2005-01-10 14:30:00	1	69
Ballast in	Nanticoke	59	ON	9	Erie	4	7800	Ballast out	2	Goderich	80	ON	9	Huron	3	2005	2005-01-11 01:29:23	1	70
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	12082	Ballast out	2	Thunder Bay	134	ON	9	Superior	1	2005	2005-01-11 01:48:20	1	71
Ballast in	Indiana Harbor	224	IN	3	Michigan	2	17171	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-11 01:49:33	1	72
Ballast in	Muskegon	248	MI	5	Michigan	2	8901	Ballast out	2	Sarnia	61	ON	9	Erie	4	2005	2005-01-11 05:20:56	1	73
Ballast in	Nanticoke	59	ON	9	Erie	4	16110	Ballast out	2	Goderich	80	ON	9	Huron	3	2005	2005-01-11 09:07:44	1	74
Ballast in	Windsor	58	ON	9	Erie	4	14121	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-11 16:46:03	1	75
Ballast in	Burns Harbor	266	IN	3	Michigan	2	35068	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-11 16:57:37	1	76
Ballast in	Detroit	232	MI	5	Erie	4	37325	Ballast out	2	Two Harbors	216	MN	1	Superior	1	2005	2005-01-11 18:31:10	1	77
Ballast in	Lorain	207	OH	6	Erie	4	11373	Ballast out	2	Toledo	218	OH	6	Erie	4	2005	2005-01-11 23:39:32	1	78
Ballast in	Marysville	194	MI	5	Erie	4	38338	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-12 09:54:58	1	79
Ballast in	Cleveland	273	OH	6	Erie	4	5548	Ballast out	2	Windsor	58	ON	9	Erie	4	2005	2005-01-12 11:49:44	1	80
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	4024	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-12 15:58:17	1	81
Ballast in	Cleveland	273	OH	6	Erie	4	10785	Ballast out	2	Toledo	218	OH	6	Erie	4	2005	2005-01-13 05:01:32	1	82
Ballast in	Detroit	232	MI	5	Erie	4	5548	Ballast out	2	Windsor	58	ON	9	Erie	4	2005	2005-01-13 08:43:59	1	83
Ballast in	Huron	175	OH	6	Erie	4	23286	Ballast out	2	Cleveland	273	OH	6	Erie	4	2005	2005-01-13 09:08:09	1	84
Ballast in	Contrecoeur	154	QC	10	St. Lawrence	6	15753	Ballast out	2	Port Cartier	166	QC	10	St. Lawrence	6	2005	2005-01-13 12:33:45	1	85
Ballast in	Gary	265	IN	3	Michigan	2	51447	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-13 20:31:43	1	86
Ballast in	Conneaut	220	OH	6	Erie	4	7257	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-13 21:57:51	1	87
Ballast in	Detroit	232	MI	5	Erie	4	9239	Ballast out	2	Cleveland	273	OH	6	Erie	4	2005	2005-01-15 04:59:45	1	88
Ballast in	Cleveland	273	OH	6	Erie	4	42398	Ballast out	2	Toledo	218	OH	6	Erie	4	2005	2005-01-15 11:26:22	1	89
Ballast in	Cleveland	273	OH	6	Erie	4	5548	Ballast out	2	Windsor	58	ON	9	Erie	4	2005	2005-01-15 13:27:11	1	90
Ballast in	Detroit	232	MI	5	Erie	4	14121	Ballast out	2	Sandusky	176	OH	6	Erie	4	2005	2005-01-15 18:41:29	1	91
Ballast in	Detroit	232	MI	5	Erie	4	5548	Ballast out	2	Windsor	58	ON	9	Erie	4	2005	2005-01-16 15:25:38	1	92
Ballast in	Nanticoke	59	ON	9	Erie	4	38338	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-16 22:06:05	1	93
Ballast in	Marquette	200	MI	5	Superior	1	15400	Ballast out	2	Thunder Bay	134	ON	9	Superior	1	2005	2005-01-17 03:56:31	1	94
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	9929	Ballast out	2	Marquette	200	MI	5	Superior	1	2005	2005-01-17 03:57:28	1	95
Ballast in	Detroit	232	MI	5	Erie	4	11181	Ballast out	2	Sturgeon Bay	231	WI	2	Michigan	2	2005	2005-01-17 04:08:57	1	96
Ballast in	Lorain	207	OH	6	Erie	4	15292	Ballast out	2	Toledo	218	OH	6	Erie	4	2005	2005-01-17 06:26:26	1	97
Ballast in	Contrecoeur	154	QC	10	St. Lawrence	6	15753	Ballast out	2	Port Cartier	166	QC	10	St. Lawrence	6	2005	2005-01-17 14:10:42	1	98
Ballast in	Courtright	55	ON	9	Huron	3	15122	Ballast out	2	Conneaut	220	OH	6	Erie	4	2005	2005-01-18 03:18:16	1	99
Ballast in	Detroit	232	MI	5	Erie	4	48888	Ballast out	2	Sturgeon Bay	231	WI	2	Michigan	2	2005	2005-01-18 05:03:38	1	100
Ballast in	Detroit	232	MI	5	Erie	4	5548	Ballast out	2	Sarnia	61	ON	9	Erie	4	2005	2005-01-18 08:35:57	1	101
Ballast in	Chicago	197	IL	4	Michigan	2	16110	Ballast out	2	Goderich	80	ON	9	Huron	3	2005	2005-01-18 19:50:50	1	102
Ballast in	Sarnia	61	ON	9	Erie	4	4558	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-19 04:37:12	1	103
Ballast in	Courtright	55	ON	9	Huron	3	7211	Ballast out	2	Cleveland	273	OH	6	Erie	4	2005	2005-01-19 15:21:54	1	104
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	4024	Ballast out	2	Nanticoke	59	ON	9	Erie	4	2005	2005-01-19 21:25:11	1	105
Ballast in	Sault Ste. Marie	125	ON	9	Huron	3	10522	Ballast out	2	Duluth	170	MN	1	Superior	1	2005	2005-01-21 15:38:13	1	106
